,Strike,Dip,Rake,Misfit,Extra
224,152,74,38,0.0234927683755,"[535, 'iasp91', 345769, array([ 0.11230688, -3.251836  , -3.75483109]), array([ 0.        , -0.64981277, -0.76009431])]"
53,48,48,-90,0.0235923685917,"[535, 'iasp91', 110405, array([ 0.00973832, -1.0135561 , -1.24179873]), array([ 0.        , -0.64981277, -0.76009431])]"
328,170,58,52,0.023627667161,"[535, 'iasp91', 385476, array([-0.00811065, -2.12763295, -2.37350311]), array([ 0.        , -0.64981277, -0.76009431])]"
154,138,88,38,0.0237637685337,"[535, 'iasp91', 314969, array([ 0.03095278, -3.74750582, -4.59503132]), array([ 0.        , -0.64981277, -0.76009431])]"
356,176,22,46,0.0237687032003,"[535, 'iasp91', 397173, array([ 0.00547341, -0.34218479, -0.38345289]), array([ 0.        , -0.64981277, -0.76009431])]"
29,44,52,-94,0.0237909005398,"[535, 'iasp91', 101603, array([-0.00937922, -1.16781725, -1.30358534]), array([ 0.        , -0.64981277, -0.76009431])]"
104,70,26,-64,0.0237996624045,"[535, 'iasp91', 158818, array([ 0.02069221, -0.64062653, -0.7332822 ]), array([ 0.        , -0.64981277, -0.76009431])]"
310,168,52,44,0.0238241452617,"[535, 'iasp91', 380672, array([ 0.0454617 , -1.8683612 , -2.26735161]), array([ 0.        , -0.64981277, -0.76009431])]"
275,162,60,44,0.0238734244675,"[535, 'iasp91', 367572, array([ 0.02120155, -2.37779062, -2.91563739]), array([ 0.        , -0.64981277, -0.76009431])]"
252,158,64,42,0.0239128845107,"[535, 'iasp91', 358771, array([ 0.02804887, -2.65585775, -3.25502789]), array([ 0.        , -0.64981277, -0.76009431])]"
18,42,54,-100,0.0239209767198,"[535, 'iasp91', 97200, array([-0.02662239, -1.49632942, -1.67835525]), array([ 0.        , -0.64981277, -0.76009431])]"
280,162,64,50,0.0239975437704,"[535, 'iasp91', 367775, array([-0.04137476, -2.65887723, -2.9771787 ]), array([ 0.        , -0.64981277, -0.76009431])]"
100,64,28,-68,0.0240164051545,"[535, 'iasp91', 145416, array([ 0.01167601, -0.51207431, -0.57684659]), array([ 0.        , -0.64981277, -0.76009431])]"
304,166,62,54,0.0240199447204,"[535, 'iasp91', 376677, array([-0.06527143, -2.41570428, -2.73561489]), array([ 0.        , -0.64981277, -0.76009431])]"
220,152,72,38,0.0240350306152,"[535, 'iasp91', 345669, array([ 0.08291856, -3.11212621, -3.76834914]), array([ 0.        , -0.64981277, -0.76009431])]"
116,110,16,-22,0.0240938060889,"[535, 'iasp91', 248339, array([ 0.01558866, -0.50338733, -0.57379566]), array([ 0.        , -0.64981277, -0.76009431])]"
316,168,58,52,0.0241389234908,"[535, 'iasp91', 380976, array([-0.03551397, -2.09408089, -2.55948729]), array([ 0.        , -0.64981277, -0.76009431])]"
243,156,68,38,0.0241767486557,"[535, 'iasp91', 354469, array([ 0.10865567, -2.91898003, -3.41664435]), array([ 0.        , -0.64981277, -0.76009431])]"
345,174,36,44,0.0241813105539,"[535, 'iasp91', 393372, array([ 0.0331935 , -1.01311085, -1.21428403]), array([ 0.        , -0.64981277, -0.76009431])]"
107,82,20,-50,0.0241865343856,"[535, 'iasp91', 185525, array([ 0.01380265, -0.49206998, -0.55781926]), array([ 0.        , -0.64981277, -0.76009431])]"
261,160,22,28,0.0241886764907,"[535, 'iasp91', 361164, array([ 0.02331931, -0.65752005, -0.75865816]), array([ 0.        , -0.64981277, -0.76009431])]"
251,158,64,40,0.024198241821,"[535, 'iasp91', 358770, array([ 0.06281787, -2.66457801, -3.23948532]), array([ 0.        , -0.64981277, -0.76009431])]"
92,58,38,-84,0.0243572280897,"[535, 'iasp91', 132408, array([ 0.04354666, -1.19706228, -1.38536335]), array([ 0.        , -0.64981277, -0.76009431])]"
72,52,46,-100,0.0243762788039,"[535, 'iasp91', 119300, array([ 0.0539895 , -1.84053765, -2.22229324]), array([ 0.        , -0.64981277, -0.76009431])]"
150,138,84,40,0.0243943112023,"[535, 'iasp91', 314770, array([-0.06858676, -3.68248484, -4.49846353]), array([ 0.        , -0.64981277, -0.76009431])]"
78,54,42,-88,0.0244121853413,"[535, 'iasp91', 123606, array([ 0.03518205, -1.19912928, -1.44800238]), array([ 0.        , -0.64981277, -0.76009431])]"
231,154,68,48,0.0244406436694,"[535, 'iasp91', 349974, array([-0.10350061, -2.94802187, -3.51474793]), array([ 0.        , -0.64981277, -0.76009431])]"
143,136,84,42,0.024445938184,"[535, 'iasp91', 310271, array([-0.13949639, -3.75756516, -4.43752624]), array([ 0.        , -0.64981277, -0.76009431])]"
19,42,56,-98,0.0245002160245,"[535, 'iasp91', 97301, array([-0.0197941 , -1.29834159, -1.58982619]), array([ 0.        , -0.64981277, -0.76009431])]"
273,162,60,40,0.0245330490461,"[535, 'iasp91', 367570, array([ 0.08851754, -2.4560099 , -2.83412305]), array([ 0.        , -0.64981277, -0.76009431])]"
285,164,56,40,0.0245541034847,"[535, 'iasp91', 371870, array([ 0.08254551, -2.20113845, -2.59471058]), array([ 0.        , -0.64981277, -0.76009431])]"
309,168,50,42,0.024587898037,"[535, 'iasp91', 380571, array([ 0.0613963 , -1.80225014, -2.15698047]), array([ 0.        , -0.64981277, -0.76009431])]"
5,36,72,-90,0.0245967935823,"[535, 'iasp91', 84605, array([-0.02394973, -0.73047519, -0.8343462 ]), array([ 0.        , -0.64981277, -0.76009431])]"
219,152,70,48,0.0246195384009,"[535, 'iasp91', 345574, array([-0.1154166 , -3.11773074, -3.61286988]), array([ 0.        , -0.64981277, -0.76009431])]"
321,170,46,42,0.0247805094634,"[535, 'iasp91', 384871, array([ 0.06065936, -1.59240818, -1.85987902]), array([ 0.        , -0.64981277, -0.76009431])]"
1,34,84,-86,0.0247940634767,"[535, 'iasp91', 80707, array([-0.01472309, -0.49507593, -0.59819009]), array([ 0.        , -0.64981277, -0.76009431])]"
176,142,88,38,0.0248192559674,"[535, 'iasp91', 323969, array([ 0.13062165, -3.81247997, -4.36662053]), array([ 0.        , -0.64981277, -0.76009431])]"
165,140,88,40,0.0248235677628,"[535, 'iasp91', 319470, array([ 0.06123195, -3.92002665, -4.38145362]), array([ 0.        , -0.64981277, -0.76009431])]"
241,156,66,44,0.024864704326,"[535, 'iasp91', 354372, array([-0.0207075 , -2.78337665, -3.42146973]), array([ 0.        , -0.64981277, -0.76009431])]"
337,172,52,50,0.0248792746912,"[535, 'iasp91', 389675, array([ 0.0088626 , -1.708836  , -2.10164371]), array([ 0.        , -0.64981277, -0.76009431])]"
