,Index,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod,Normalized
12252,2459,215,8,120,32,319,56,338,46,-42,0.033617424,35,NewGudkova,0.387945084
12253,2350,202,21,101,27,325,53,332,34,-34,0.033670839,35,NewGudkova,0.386948702
12254,2086,184,32,81,19,326,50,324,22,-26,0.033692904,35,NewGudkova,0.386537117
12255,2047,155,43,58,7,319,44,324,8,-4,0.033704428,35,NewGudkova,0.386322155
12256,922,63,19,164,28,303,54,116,36,-144,0.033756625,35,NewGudkova,0.385348488
12257,958,106,43,205,9,305,44,118,10,-178,0.03379626,35,NewGudkova,0.384609141
12258,390,127,46,218,0,308,43,66,2,118,0.033804485,35,NewGudkova,0.384455721
12259,783,124,46,218,3,311,43,110,4,162,0.033836016,35,NewGudkova,0.383867559
12260,1053,86,36,190,18,303,47,120,20,-162,0.033865905,35,NewGudkova,0.383310019
12261,1330,110,42,207,7,306,46,130,8,-168,0.033944153,35,NewGudkova,0.381850412
12262,997,64,21,165,24,298,56,118,32,-142,0.033975892,35,NewGudkova,0.38125837
12263,1296,103,41,201,9,302,46,128,10,-164,0.034043351,35,NewGudkova,0.380000023
12264,530,130,46,222,1,313,43,86,2,134,0.03408694,35,NewGudkova,0.379186925
12265,1610,136,46,43,1,312,42,224,88,92,0.034100179,35,NewGudkova,0.378939965
12266,1189,97,40,197,11,300,47,124,12,-164,0.034164282,35,NewGudkova,0.377744224
12267,2337,144,46,47,5,312,43,332,6,14,0.034170891,35,NewGudkova,0.377620929
12268,80,81,34,185,19,299,49,8,82,-70,0.034172699,35,NewGudkova,0.377587206
12269,2312,199,22,97,28,321,52,330,34,-32,0.034204048,35,NewGudkova,0.377002435
12270,161,98,39,199,11,302,47,20,86,-78,0.034221593,35,NewGudkova,0.376675155
12271,1986,155,43,58,7,319,45,322,8,-6,0.03423668,35,NewGudkova,0.37639373
12272,15,69,26,173,25,300,51,0,76,-64,0.034244396,35,NewGudkova,0.376249811
12273,519,195,25,91,27,322,50,84,76,-118,0.034331808,35,NewGudkova,0.374619253
12274,878,55,13,152,27,302,59,114,40,-136,0.034371321,35,NewGudkova,0.373882198
